id,edital,formulario,data_resposta,organizacao,estado,status_credenciamento,representa,criterio_estatuto_registrado,criterio_regularidade_credito,criterio_dois_representantes,criterio_sede_bahia,criterio_atuacao_apenas_bahia,criterio_municipios_ate_200mil,criterio_em_atividade,criterio_receita_acima_500mil,criterio_atuacao_minima_3_anos,criterio_vinculo_partidario,criterio_fins_religiosos,ciencia_comprovacao_receita
110167,,Credenciamento Redes Bahia,2026-07-29,Associação Artístico-Cultural do Sertão de Cima,Bahia,Aprovado automaticamente,Associação sem fins lucrativos,True,True,Sim,True,True,True,True,False,True,False,False,Ciente
110218,,Credenciamento Redes Bahia,2026-07-29,Associação da Ação Fraterna,Bahia,Não aprovado,Associação sem fins lucrativos,True,True,"Não se aplica, pois somos uma organização social (ONG, OSC)",True,True,True,True,True,True,False,False,Ciente
110211,,Credenciamento Redes Bahia,2026-07-29,Associação de Desenvolvimento Sustentável e Solidário do Território do Sisal - REDE SISAL,Bahia,Aprovado automaticamente,Associação sem fins lucrativos,True,True,Sim,True,True,True,True,False,True,False,False,Ciente
110162,,Credenciamento Redes Bahia,2026-07-29,Associação de Mulheres e produtores da agricultura familiar de Lagoa do Torto,Bahia,Aprovado automaticamente,Associação sem fins lucrativos,True,True,Sim,True,True,True,True,False,True,False,False,Ciente
109941,,Credenciamento Redes Bahia,2026-07-27,Associação Desportivabbb e Sócio Cultural Celeiro de Bambas,Pernambuco,Não aprovado,Associação sem fins lucrativos,True,True,Sim,False,False,False,True,False,True,False,False,Ciente
110176,,Credenciamento Redes Bahia,2026-07-29,Aterrar Produções,Bahia,Não aprovado,Nenhuma das opções,False,True,Não,True,True,False,True,False,True,False,False,Ciente
109980,,Credenciamento Redes Bahia,2026-07-27,Cadi Valença,Bahia,Aprovado automaticamente,Associação sem fins lucrativos,True,True,"Não se aplica, pois somos uma organização social (ONG, OSC)",True,True,True,True,False,True,False,False,Ciente
110132,,Credenciamento Redes Bahia,2026-07-28,Filarmônica 2 de Janeiro de Jacobina,Bahia,Aprovado automaticamente,Associação sem fins lucrativos,True,True,"Não se aplica, pois somos uma organização social (ONG, OSC)",True,True,True,True,False,True,False,False,Ciente
109974,,Credenciamento Redes Bahia,2026-07-27,"GESCA Grêmio Educacional, Social e Cultural Águias de Santo Antônio de Jesus",Bahia,Aprovado automaticamente,Associação sem fins lucrativos,True,True,"Não se aplica, pois somos uma organização social (ONG, OSC)",True,True,True,True,False,True,False,False,Ciente
110244,,Credenciamento Redes Bahia,2026-07-30,IDES,Bahia,Não aprovado,Associação sem fins lucrativos,True,True,"Não se aplica, pois somos uma organização social (ONG, OSC)",True,True,True,True,True,True,False,False,Ciente
110120,,Credenciamento Redes Bahia,2026-07-28,Instituto Dendezeiros,Bahia,Aprovado automaticamente,Associação sem fins lucrativos,True,True,Sim,True,True,True,True,False,True,False,False,Ciente
110160,,Credenciamento Redes Bahia,2026-07-29,INSTITUTO SOCIAL EUMELANINA,Bahia,Não aprovado,Associação sem fins lucrativos,True,True,"Não se aplica, pois somos uma organização social (ONG, OSC)",True,True,True,True,False,True,False,False,Ciente
110113,,Credenciamento Redes Bahia,2026-07-28,ITPC,Bahia,Aprovado automaticamente,Associação sem fins lucrativos,True,True,Sim,True,True,True,True,False,True,False,False,Ciente
